,listing_id,date,available,price,adjusted_price,minimum_nights,maximum_nights
3107139,34717270,2019-06-27,t,$79.00,$79.00,1,1125
3107140,34717270,2019-06-28,t,$124.00,$124.00,1,1125
3107867,34721980,2019-06-25,t,$350.00,$350.00,1,5
3107868,34721980,2019-06-26,t,$350.00,$350.00,1,5
3107869,34721980,2019-06-27,t,$350.00,$350.00,1,5
3107870,34721980,2019-06-28,t,$350.00,$350.00,1,5
3107871,34721980,2019-06-29,t,$350.00,$350.00,1,5
3107872,34721980,2019-06-30,t,$350.00,$350.00,1,5
3108938,34689927,2019-06-25,t,$70.00,$70.00,2,1125
3108939,34689927,2019-06-26,t,$70.00,$70.00,2,1125
3108940,34689927,2019-06-27,t,$70.00,$70.00,2,1125
3109304,34695635,2019-06-26,t,$39.00,$39.00,1,7
