,listing_id,date,available,price,adjusted_price,minimum_nights,maximum_nights
3196309,35000913,2019-06-28,t,$100.00,$100.00,1,61
3196310,35000913,2019-06-29,t,$100.00,$100.00,1,61
3196311,35000913,2019-06-30,t,$100.00,$100.00,1,61
3197036,35001898,2019-06-25,t,$65.00,$65.00,1,14
3197037,35001898,2019-06-26,t,$65.00,$65.00,1,14
3197038,35001898,2019-06-27,t,$65.00,$65.00,1,14
3197039,35001898,2019-06-28,t,$75.00,$75.00,1,14
3197040,35001898,2019-06-29,t,$75.00,$75.00,1,14
3197041,35001898,2019-06-30,t,$65.00,$65.00,1,14
3197965,35001949,2019-06-25,t,$60.00,$60.00,1,1125
3197966,35001949,2019-06-26,t,$60.00,$60.00,1,1125
3197967,35001949,2019-06-27,t,$60.00,$60.00,1,1125
3197968,35001949,2019-06-28,t,$60.00,$60.00,1,1125
3197969,35001949,2019-06-29,t,$60.00,$60.00,1,1125
3197970,35001949,2019-06-30,t,$60.00,$60.00,1,1125
3198330,35002405,2019-06-25,t,$60.00,$60.00,1,1125
3198331,35002405,2019-06-26,t,$60.00,$60.00,1,1125
3198332,35002405,2019-06-27,t,$60.00,$60.00,1,1125
3198333,35002405,2019-06-28,t,$60.00,$60.00,1,1125
3198334,35002405,2019-06-29,t,$60.00,$60.00,1,1125
3198335,35002405,2019-06-30,t,$60.00,$60.00,1,1125
3198652,35068933,2019-06-26,t,$140.00,$140.00,2,1125
3198653,35068933,2019-06-27,t,$140.00,$140.00,2,1125
3198656,35068933,2019-06-30,t,$200.00,$200.00,2,1125
3199016,35069950,2019-06-25,t,$85.00,$85.00,180,365
3199017,35069950,2019-06-26,t,$85.00,$85.00,180,365
3199018,35069950,2019-06-27,t,$85.00,$85.00,180,365
3199019,35069950,2019-06-28,t,$85.00,$85.00,180,365
3199020,35069950,2019-06-29,t,$85.00,$85.00,180,365
3199021,35069950,2019-06-30,t,$85.00,$85.00,180,365
3199383,35070072,2019-06-27,t,$80.00,$80.00,2,1125
3199384,35070072,2019-06-28,t,$187.00,$187.00,2,1125
3199385,35070072,2019-06-29,t,$187.00,$187.00,2,1125
3199386,35070072,2019-06-30,t,$80.00,$80.00,2,1125
